XShoot,XTree,Year,Tree,Cultivar,Shoot,LeafP1,LeafP2,Count
202,16,2012,7,Cox,1,1,13,0
202,16,2012,7,Cox,1,2,12,0
202,16,2012,7,Cox,1,3,11,0
202,16,2012,7,Cox,1,4,10,1
202,16,2012,7,Cox,1,5,9,0
202,16,2012,7,Cox,1,7,7,0
202,16,2012,7,Cox,1,8,6,0
202,16,2012,7,Cox,1,9,5,0
202,16,2012,7,Cox,1,10,4,0
202,16,2012,7,Cox,1,11,3,0
202,16,2012,7,Cox,1,12,2,0
202,16,2012,7,Cox,1,13,1,0
203,16,2012,7,Cox,2,1,14,0
203,16,2012,7,Cox,2,2,13,0
203,16,2012,7,Cox,2,3,12,0
203,16,2012,7,Cox,2,4,11,0
203,16,2012,7,Cox,2,5,10,0
203,16,2012,7,Cox,2,6,9,0
203,16,2012,7,Cox,2,7,8,4
203,16,2012,7,Cox,2,8,7,0
203,16,2012,7,Cox,2,9,6,0
203,16,2012,7,Cox,2,10,5,0
203,16,2012,7,Cox,2,11,4,0
203,16,2012,7,Cox,2,12,3,0
203,16,2012,7,Cox,2,13,2,0
203,16,2012,7,Cox,2,14,1,0
204,16,2012,7,Cox,3,1,11,0
204,16,2012,7,Cox,3,2,10,0
204,16,2012,7,Cox,3,3,9,0
204,16,2012,7,Cox,3,4,8,1
204,16,2012,7,Cox,3,5,7,1
204,16,2012,7,Cox,3,6,6,0
204,16,2012,7,Cox,3,7,5,0
204,16,2012,7,Cox,3,8,4,0
204,16,2012,7,Cox,3,9,3,0
204,16,2012,7,Cox,3,10,2,0
204,16,2012,7,Cox,3,11,1,0
205,16,2012,7,Cox,4,1,18,0
205,16,2012,7,Cox,4,2,17,0
205,16,2012,7,Cox,4,3,16,1
205,16,2012,7,Cox,4,4,15,0
205,16,2012,7,Cox,4,5,14,0
205,16,2012,7,Cox,4,6,13,0
205,16,2012,7,Cox,4,7,12,0
205,16,2012,7,Cox,4,8,11,0
205,16,2012,7,Cox,4,9,10,0
205,16,2012,7,Cox,4,10,9,0
205,16,2012,7,Cox,4,11,8,0
205,16,2012,7,Cox,4,13,6,0
205,16,2012,7,Cox,4,14,5,0
205,16,2012,7,Cox,4,15,4,0
205,16,2012,7,Cox,4,16,3,0
205,16,2012,7,Cox,4,17,2,0
205,16,2012,7,Cox,4,18,1,0
206,16,2012,7,Cox,5,1,17,0
206,16,2012,7,Cox,5,2,16,0
206,16,2012,7,Cox,5,3,15,0
206,16,2012,7,Cox,5,4,14,0
206,16,2012,7,Cox,5,5,13,0
206,16,2012,7,Cox,5,6,12,0
206,16,2012,7,Cox,5,7,11,2
206,16,2012,7,Cox,5,8,10,1
206,16,2012,7,Cox,5,9,9,0
206,16,2012,7,Cox,5,10,8,0
206,16,2012,7,Cox,5,11,7,0
206,16,2012,7,Cox,5,12,6,0
206,16,2012,7,Cox,5,13,5,0
206,16,2012,7,Cox,5,14,4,0
206,16,2012,7,Cox,5,15,3,0
206,16,2012,7,Cox,5,16,2,0
206,16,2012,7,Cox,5,17,1,0
207,16,2012,7,Cox,6,1,15,0
207,16,2012,7,Cox,6,2,14,0
207,16,2012,7,Cox,6,3,13,0
207,16,2012,7,Cox,6,4,12,0
207,16,2012,7,Cox,6,5,11,0
207,16,2012,7,Cox,6,6,10,0
207,16,2012,7,Cox,6,7,9,0
207,16,2012,7,Cox,6,8,8,0
207,16,2012,7,Cox,6,9,7,0
207,16,2012,7,Cox,6,10,6,0
207,16,2012,7,Cox,6,11,5,0
207,16,2012,7,Cox,6,12,4,0
207,16,2012,7,Cox,6,13,3,0
207,16,2012,7,Cox,6,14,2,0
207,16,2012,7,Cox,6,15,1,0
