v,tiempo,trt,pl,br,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,cat0,cat1,cat2,cat3,cat4,cat5,n
A,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
A,1,1,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
A,1,1,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
A,1,1,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,1,3,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,6,1,0,0,0,0,7
B,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,0,0,0,0,0,7
B,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,5,0,0,0,0,0,5
B,1,1,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,1,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,3
B,1,1,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,0,0,0,6
B,1,1,3,2,0,0,0,0,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4
A,1,2,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,6,3,0,0,0,0,9
A,1,2,1,2,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,5,5,0,0,0,0,10
A,1,2,2,1,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,6,1,1,0,0,0,8
A,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
A,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11,0,0,0,0,0,11
